Restaurant Name,Aggregate rating
Cafe Coffee Day,2.419277108433735
Domino's Pizza,2.740506329113924
Subway,2.907936507936508
Green Chick Chop,2.6725490196078434
McDonald's,3.3395833333333336
Keventers,2.8705882352941177
Pizza Hut,3.32
Giani,2.689655172413793
Baskin Robbins,1.8607142857142858
Barbeque Nation,4.353846153846154
